"OriginalRelativePath","NewRelativePath","Category","Marker","Extension","SizeBytes","Status","Error"
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\5_中間ファイル\Table\table.qzv","06_qiime2_artifacts\COI\Table\table.qzv","06_qiime2_artifacts","COI",".qzv","417644","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\img\blast.png","07_images\COI\blast.png","07_images","COI",".png","8915","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\img\logo.jpg","07_images\COI\logo.jpg","07_images","COI",".jpg","12127","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\img\otu_table.png","07_images\COI\otu_table.png","07_images","COI",".png","61795","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\img\Quality.html","03_reports\COI\Quality.html","03_reports","COI",".html","11314","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\img\top10.png","07_images\COI\top10.png","07_images","COI",".png","61466","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\3_代表配列のリード数と相同性解析結果.xlsx","02_tables\gPlant\3_代表配列のリード数と相同性解析結果.xlsx","02_tables","gPlant",".xlsx","50407","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\4_相同性が高い生物種リスト(BLAST結果10位まで).xlsx","02_tables\gPlant\4_相同性が高い生物種リスト(BLAST結果10位まで).xlsx","02_tables","gPlant",".xlsx","54250","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\納品データのご説明.html","03_reports\gPlant\納品データのご説明.html","03_reports","gPlant",".html","8254","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\1_生リード配列\dog-food-rbcL_S10_L001_R1_001.fastq.gz","05_raw_reads_fastq\gPlant\dog-food-rbcL_S10_L001_R1_001.fastq.gz","05_raw_reads_fastq","gPlant",".gz","9861060","moved",""
