Run/Analysis	File Name	Run/Analysis contains files	File Type	MD5 Checksum
Run	dog-food-rbcL_S10_L001_R1_001.fastq.gz		generic_fastq	8b1be364edccc10b7f079570ea9e6c7c
Run	dog-food-rbcL_S10_L001_R2_001.fastq.gz		generic_fastq	3e8ef8c59e8e7fcc38598a99733985d5
