Run/Analysis	File Name	Run/Analysis contains files	File Type	MD5 Checksum
Run	r32-230606-3S_S29_L001_R2_001.fastq.gz		fastq	8b82c4de443ed1d81719e8edf784dee8
Run	r33-230500-2M_S30_L001_R1_001.fastq.gz		fastq	55bb91543dbe82891a44599f11acfc37
Run	r33-230500-2M_S30_L001_R2_001.fastq.gz		fastq	8a2ca3df36e2e2ec64712d722b6e92b5
Run	r34-221000M_S31_L001_R1_001.fastq.gz		fastq	0510747e27156bb8f82dc4d9b807a39c
Run	r34-221000M_S31_L001_R2_001.fastq.gz		fastq	15849def48acfd4482d74e468cc7358d
Run	r35-231007S_S32_L001_R1_001.fastq.gz		fastq	c7828f6341b51302a20032688c30fdbf
Run	r35-231007S_S32_L001_R2_001.fastq.gz		fastq	ff3de1ce9f9aec53b0c068cd5930d871
Run	r36-231018-1M_S33_L001_R1_001.fastq.gz		fastq	54b11d44fce24ef348d8070e06798283
Run	r36-231018-1M_S33_L001_R2_001.fastq.gz		fastq	87728bf2cfcfc158abafe34a441d78ad
Run	r37-231018-2M_S34_L001_R1_001.fastq.gz		fastq	97616bdf0485c18b2bd68a3dd7fbb477
Run	r37-231018-2M_S34_L001_R2_001.fastq.gz		fastq	32ba1237a52038b1671e51999030b7ec
Run	r40-231018-5M_S37_L001_R1_001.fastq.gz		fastq	2d9ebf5f66e172e57c219f7a44d5cdfe
Run	r40-231018-5M_S37_L001_R2_001.fastq.gz		fastq	fb588edcb964f02c2357369b8b1bb498
Run	r41-231018-6M_S38_L001_R1_001.fastq.gz		fastq	71e1b7739b28803a9eb35d6779f6b928
Run	r41-231018-6M_S38_L001_R2_001.fastq.gz		fastq	24a46aa4fe5416987988639d4fa35d87
Run	r42-231018-7M_S39_L001_R1_001.fastq.gz		fastq	2ea3bf706fb0fe4277b6b16613df6027
Run	r42-231018-7M_S39_L001_R2_001.fastq.gz		fastq	685be94ca750d3948860bba36e722084
Run	r43-231018-8M_S40_L001_R1_001.fastq.gz		fastq	3fb297e45b97b4ee710579906aeb70e5
Run	r43-231018-8M_S40_L001_R2_001.fastq.gz		fastq	f1412d908dc653b320c952c91978d787
Run	r44-231018-9M_S41_L001_R1_001.fastq.gz		fastq	c68d1057273c995ab10a5ad8dac4d791
Run	r44-231018-9M_S41_L001_R2_001.fastq.gz		fastq	eaac88f4e1768bedb8515e06de30b23a
Run	r45-231018-10M_S42_L001_R1_001.fastq.gz		fastq	a3a1e0b93acc95195efd71f17abaece5
Run	r45-231018-10M_S42_L001_R2_001.fastq.gz		fastq	c55c09c32d36b0184b4b904abc2e73f7
Run	r46-231018-11M_S43_L001_R1_001.fastq.gz		fastq	e9a4f8fd8b8300673588049378991e7d
Run	r46-231018-11M_S43_L001_R2_001.fastq.gz		fastq	5695646b3632ebabdfc7352c7d72bf98
Run	r47-231018-12M_S44_L001_R1_001.fastq.gz		fastq	f7076c641ce1dceb03f1fbb27a5d01ed
Run	r47-231018-12M_S44_L001_R2_001.fastq.gz		fastq	dca64a133f2d8d49e9a887f1837bcecb
Run	r48-231018-13M_S45_L001_R1_001.fastq.gz		fastq	1294c3c33205701d26db9d91d7fb1303
Run	r48-231018-13M_S45_L001_R2_001.fastq.gz		fastq	448f6ae306573b046e326a595a269f91
Run	r49-231018-14M_S46_L001_R1_001.fastq.gz		fastq	209c476b08383b50916e9d677ddd1b08
Run	r49-231018-14M_S46_L001_R2_001.fastq.gz		fastq	4d237cb09a09004f9b7ac4202ab1a726
Run	r50-231018-15M_S47_L001_R1_001.fastq.gz		fastq	723b18d471b2ad962b1771bfce7ff312
Run	r50-231018-15M_S47_L001_R2_001.fastq.gz		fastq	1a8e459c173e4626a63e5d39e249f6ce
Run	r51-231018-16M_S48_L001_R1_001.fastq.gz		fastq	796580ef8ae97e0b41f1113b731f48f0
Run	r51-231018-16M_S48_L001_R2_001.fastq.gz		fastq	07330f976e2c3cc672a399482aa16fdb
Run	r52-231018-17M_S49_L001_R1_001.fastq.gz		fastq	e2e32698632fc5a1757e192e19616e11
Run	r52-231018-17M_S49_L001_R2_001.fastq.gz		fastq	ba1aadbd82b4930964cff7a2cddaa290
Run	r53-231018-18M_S50_L001_R1_001.fastq.gz		fastq	66d661fda2430bb26effe16927705716
Run	r53-231018-18M_S50_L001_R2_001.fastq.gz		fastq	7325ab36cdc3545c5f65588c47af0939
Run	r54-231018-19M_S51_L001_R1_001.fastq.gz		fastq	026768b0fdbc9192d7d5cb024252c71e
Run	r54-231018-19M_S51_L001_R2_001.fastq.gz		fastq	0976d343d75515ac8e1809d739044f31
Run	r55-231018-20M_S52_L001_R1_001.fastq.gz		fastq	dd26b82701516b4e8e2f443fec76acb5
Run	r55-231018-20M_S52_L001_R2_001.fastq.gz		fastq	2d940f2451dafdaef869fd7dd6106c88
Run	r56-240617M_S53_L001_R1_001.fastq.gz		fastq	d7d4bdfcea19d84eda12ae88dec99ae2
Run	r56-240617M_S53_L001_R2_001.fastq.gz		fastq	885d6baf1ff92e20b6e869b2ad62c4a9
Run	r57-240722M_S54_L001_R1_001.fastq.gz		fastq	485a10a3ad88d75abd2f756ccf0cfeb8
Run	r57-240722M_S54_L001_R2_001.fastq.gz		fastq	c6fa879702af0f91ef6add43f0e38928
Run	r58-240918S_S55_L001_R1_001.fastq.gz		fastq	759bd02a6a4e40d5aafeea99831c7aaa
Run	r58-240918S_S55_L001_R2_001.fastq.gz		fastq	5055c87691be0f3cb772a8aa081a5a3b
Run	r59-241017-1M_S56_L001_R1_001.fastq.gz		fastq	4cd957dad07032b604d35adcc6c2f5ee
Run	r59-241017-1M_S56_L001_R2_001.fastq.gz		fastq	928ede23f77ee3181666bd83fbb1a1c4
Run	r60-241017-2M_S57_L001_R1_001.fastq.gz		fastq	96bc5acda3855263122ff7ee61d8b29c
Run	r60-241017-2M_S57_L001_R2_001.fastq.gz		fastq	664a63e8a10074efcdd0695dd1104cdd
Run	r64-241017-6M_S61_L001_R1_001.fastq.gz		fastq	264ad502e171d3aece30b59adc59807e
Run	r64-241017-6M_S61_L001_R2_001.fastq.gz		fastq	f1146f163aa19f777fd54e827f8f8abb
Run	r68-241017-10M_S65_L001_R1_001.fastq.gz		fastq	74bd96da4374fdbeda833e14360e11d7
Run	r68-241017-10M_S65_L001_R2_001.fastq.gz		fastq	97effcaa55cfbaf022c0cdfe0425b9b4
